0,1,2
A,1,3.0000
A,1,3.0000
A,1,3.0000
A,1,1.0000
A,1,2.0000
A,1,1.0000
A,1,1.0000
A,1,2.0000
A,1,1.0000
A,1,2.0000
A,1,2.0000
A,2,4.0000
A,2,4.0000
A,2,3.0000
A,2,3.0000
A,2,3.0000
A,2,1.0000
A,2,2.0000
A,2,1.0000
A,2,2.0000
A,2,2.0000
A,2,4.0000
B,1,1.0000
B,1,3.0000
B,1,3.0000
B,1,1.0000
B,1,1.0000
B,1,1.0000
B,1,2.0000
B,1,3.0000
B,1,1.0000
B,1,1.0000
B,1,4.0000
B,1,1.0000
B,2,1.0000
B,2,2.0000
B,2,2.0000
B,2,2.0000
B,2,2.0000
B,2,1.0000
B,2,2.0000
B,2,4.0000
B,2,1.0000
B,2,1.0000
B,2,3.0000
B,2,1.0000
